universe,years,top_n,strategy_total_return,spy_total_return,alpha_vs_spy
top,3,2,1.1012686539804157,0.709610981989802,0.39165767199061374
top,3,3,0.9914973792363959,0.7096103841337995,0.2818869951025964
top,3,5,0.9202381158711042,0.7096112584411982,0.21062685742990594
top,5,2,1.3593953388461495,0.6150513689910104,0.7443439698551391
top,5,3,1.1234203747865252,0.6150505166283788,0.5083698581581464
top,5,5,1.011983154519224,0.6150505166283788,0.3969326378908451
top,7,2,5.425109174340852,1.3001524731685308,4.124956701172321
top,7,3,4.94546637938574,1.300153656344265,3.6453127230414752
top,7,5,4.116015149340452,1.3001498976742312,2.815865251666221
tech,3,2,0.7209023281306335,0.6452618873380642,0.07564044079256926
tech,3,3,0.7826264317254028,0.6452607120333271,0.13736571969207567
tech,3,5,0.6304792864708415,0.6452610706604809,-0.01478178418963938
tech,5,2,0.627810821914011,0.4797023341627278,0.14810848775128327
tech,5,3,0.7052732322610686,0.4797023679143475,0.22557086434672113
tech,5,5,0.4878612101237476,0.4797031148298043,0.00815809529394329
tech,7,2,3.2588825157410097,1.0284786433994544,2.2304038723415553
tech,7,3,3.0068060259919296,1.0284821181894657,1.978323907802464
tech,7,5,2.300578365027184,1.0284814028706095,1.2720969621565743
growth,3,2,0.6674505246985796,0.8768027401053253,-0.20935221540674576
growth,3,3,1.3007872741312538,0.8768019427379707,0.4239853313932831
growth,3,5,1.0454228110951784,0.8768026883828701,0.1686201227123083
growth,5,2,1.0545831228452025,0.9185736787983494,0.1360094440468531
growth,5,3,2.0360675919580116,0.9185747196829446,1.117492872275067
growth,5,5,1.4057080856876012,0.9185736504206068,0.4871344352669944
growth,7,2,7.118357552294203,1.398677314991298,5.719680237302905
growth,7,3,8.266989722835547,1.3986774854051363,6.868312237430411
growth,7,5,5.866609809857274,1.3986770527374435,4.467932757119831
